2023-10-25 17:09:40,765 - INFO - {'e': 'aggTrade', 'E': 1698233972307, 's': 'DOGEUSDT', 'a': 389247589, 'p': '0.06590000', 'q': '400.00000000', 'f': 527287549, 'l': 527287549, 'T': 1698233972307, 'm': True, 'M': True}
2023-10-25 17:09:42,810 - INFO - {'e': 'aggTrade', 'E': 1698233972307, 's': 'DOGEUSDT', 'a': 389247589, 'p': '0.06590000', 'q': '400.00000000', 'f': 527287549, 'l': 527287549, 'T': 1698233972307, 'm': True, 'M': True}
2023-10-25 17:09:42,810 - INFO - {'e': 'aggTrade', 'E': 1698233972307, 's': 'DOGEUSDT', 'a': 389247589, 'p': '0.06590000', 'q': '400.00000000', 'f': 527287549, 'l': 527287549, 'T': 1698233972307, 'm': True, 'M': True}
2023-10-25 17:09:44,863 - INFO - {'e': 'aggTrade', 'E': 1698233972307, 's': 'DOGEUSDT', 'a': 389247589, 'p': '0.06590000', 'q': '400.00000000', 'f': 527287549, 'l': 527287549, 'T': 1698233972307, 'm': True, 'M': True}
2023-10-25 17:09:44,863 - INFO - {'e': 'aggTrade', 'E': 1698233972307, 's': 'DOGEUSDT', 'a': 389247589, 'p': '0.06590000', 'q': '400.00000000', 'f': 527287549, 'l': 527287549, 'T': 1698233972307, 'm': True, 'M': True}
2023-10-25 17:09:46,909 - INFO - {'e': 'aggTrade', 'E': 1698233972307, 's': 'DOGEUSDT', 'a': 389247589, 'p': '0.06590000', 'q': '400.00000000', 'f': 527287549, 'l': 527287549, 'T': 1698233972307, 'm': True, 'M': True}
2023-10-25 17:09:46,910 - INFO - {'e': 'aggTrade', 'E': 1698233972307, 's': 'DOGEUSDT', 'a': 389247589, 'p': '0.06590000', 'q': '400.00000000', 'f': 527287549, 'l': 527287549, 'T': 1698233972307, 'm': True, 'M': True}
2023-10-25 17:09:48,971 - INFO - {'e': 'aggTrade', 'E': 1698233972307, 's': 'DOGEUSDT', 'a': 389247589, 'p': '0.06590000', 'q': '400.00000000', 'f': 527287549, 'l': 527287549, 'T': 1698233972307, 'm': True, 'M': True}
2023-10-25 17:09:48,971 - INFO - {'e': 'aggTrade', 'E': 1698233972307, 's': 'DOGEUSDT', 'a': 389247589, 'p': '0.06590000', 'q': '400.00000000', 'f': 527287549, 'l': 527287549, 'T': 1698233972307, 'm': True, 'M': True}
2023-10-25 17:09:51,029 - INFO - {'e': 'aggTrade', 'E': 1698233972307, 's': 'DOGEUSDT', 'a': 389247589, 'p': '0.06590000', 'q': '400.00000000', 'f': 527287549, 'l': 527287549, 'T': 1698233972307, 'm': True, 'M': True}
